timestamp,message
1763043892888,"{""level"":""INFO"",""location"":""/opt/python/aws_lambda_powertools/logging/logger.py::decorate::535"",""message"":{""Records"":[{""eventID"":""ed0bcf4ce3bd89e69bbe679e0659e11d"",""eventName"":""INSERT"",""eventVersion"":""1.1"",""eventSource"":""aws:dynamodb"",""awsRegion"":""eu-south-1"",""dynamodb"":{""ApproximateCreationDateTime"":1763043892.0,""Keys"":{""SK"":{""S"":""35QYieA4dhYOsP6XOdr1WBJEEfK""},""PK"":{""S"":""DDBQ_EXP_PARALLEL#35QYieA4dhYOsP6XOdr1WBJEEfK""}},""NewImage"":{""SenderApp"":{""S"":""DDBQ_EXP_PRODUCER""},""TaskId"":{""S"":""DDBQ_EXP_PARALLEL""},""ExpirationTs"":{""N"":""1763043891""},""SK"":{""S"":""35QYieA4dhYOsP6XOdr1WBJEEfK""},""Payload"":{""M"":{""text"":{""S"":""077""}}},""PK"":{""S"":""DDBQ_EXP_PARALLEL#35QYieA4dhYOsP6XOdr1WBJEEfK""}},""SequenceNumber"":""9486000004170159653534680"",""SizeBytes"":237,""StreamViewType"":""NEW_IMAGE""},""eventSourceARN"":""arn:aws:dynamodb:eu-south-1:477353422995:table/ddbq-exp-task-prod/stream/2025-11-11T13:45:49.967""}]},""timestamp"":""2025-11-13 14:24:52,887+0000"",""service"":""DynamoDB Queue to Lambda experiment @ v0.0.1"",""cold_start"":false,""function_name"":""ddbq-exp-prod-dynamodb-parallel"",""function_memory_size"":""256"",""function_arn"":""arn:aws:lambda:eu-south-1:477353422995:function:ddbq-exp-prod-dynamodb-parallel"",""function_request_id"":""e7725cc3-41d9-46bb-a19d-43211cb8fc59"",""xray_trace_id"":""1-6915ea34-a5fe900e06311060eb80995c""}
"
1763043892888,"{""level"":""INFO"",""location"":""/var/task/ddbq_exp/dynamodb_parallel_view.py::lambda_handler::131"",""message"":""DYNAMODB PARELLEL: START"",""timestamp"":""2025-11-13 14:24:52,888+0000"",""service"":""DynamoDB Queue to Lambda experiment @ v0.0.1"",""cold_start"":false,""function_name"":""ddbq-exp-prod-dynamodb-parallel"",""function_memory_size"":""256"",""function_arn"":""arn:aws:lambda:eu-south-1:477353422995:function:ddbq-exp-prod-dynamodb-parallel"",""function_request_id"":""e7725cc3-41d9-46bb-a19d-43211cb8fc59"",""xray_trace_id"":""1-6915ea34-a5fe900e06311060eb80995c""}
"
1763043893744,"END RequestId: e7725cc3-41d9-46bb-a19d-43211cb8fc59
"
1763043893744,"REPORT RequestId: e7725cc3-41d9-46bb-a19d-43211cb8fc59	Duration: 856.27 ms	Billed Duration: 857 ms	Memory Size: 256 MB	Max Memory Used: 116 MB	
"
1763043893752,"START RequestId: 1daba90e-6666-41f6-ab25-ba5f80f914ce Version: $LATEST
"
1763043893753,"{""level"":""INFO"",""location"":""/opt/python/aws_lambda_powertools/logging/logger.py::decorate::535"",""message"":{""Records"":[{""eventID"":""c8965e1fccf8517689e62fafd965cf51"",""eventName"":""INSERT"",""eventVersion"":""1.1"",""eventSource"":""aws:dynamodb"",""awsRegion"":""eu-south-1"",""dynamodb"":{""ApproximateCreationDateTime"":1763043893.0,""Keys"":{""SK"":{""S"":""35QYihqwzRsQnhIWbwSHanZZnN8""},""PK"":{""S"":""DDBQ_EXP_PARALLEL#35QYihqwzRsQnhIWbwSHanZZnN8""}},""NewImage"":{""SenderApp"":{""S"":""DDBQ_EXP_PRODUCER""},""TaskId"":{""S"":""DDBQ_EXP_PARALLEL""},""ExpirationTs"":{""N"":""1763043891""},""SK"":{""S"":""35QYihqwzRsQnhIWbwSHanZZnN8""},""Payload"":{""M"":{""text"":{""S"":""100""}}},""PK"":{""S"":""DDBQ_EXP_PARALLEL#35QYihqwzRsQnhIWbwSHanZZnN8""}},""SequenceNumber"":""9486800003528770396671877"",""SizeBytes"":237,""StreamViewType"":""NEW_IMAGE""},""eventSourceARN"":""arn:aws:dynamodb:eu-south-1:477353422995:table/ddbq-exp-task-prod/stream/2025-11-11T13:45:49.967""}]},""timestamp"":""2025-11-13 14:24:53,753+0000"",""service"":""DynamoDB Queue to Lambda experiment @ v0.0.1"",""cold_start"":false,""function_name"":""ddbq-exp-prod-dynamodb-parallel"",""function_memory_size"":""256"",""function_arn"":""arn:aws:lambda:eu-south-1:477353422995:function:ddbq-exp-prod-dynamodb-parallel"",""function_request_id"":""1daba90e-6666-41f6-ab25-ba5f80f914ce"",""xray_trace_id"":""1-6915ea35-90e1bc612b2f518eef437c39""}
"
1763043893753,"{""level"":""INFO"",""location"":""/var/task/ddbq_exp/dynamodb_parallel_view.py::lambda_handler::131"",""message"":""DYNAMODB PARELLEL: START"",""timestamp"":""2025-11-13 14:24:53,753+0000"",""service"":""DynamoDB Queue to Lambda experiment @ v0.0.1"",""cold_start"":false,""function_name"":""ddbq-exp-prod-dynamodb-parallel"",""function_memory_size"":""256"",""function_arn"":""arn:aws:lambda:eu-south-1:477353422995:function:ddbq-exp-prod-dynamodb-parallel"",""function_request_id"":""1daba90e-6666-41f6-ab25-ba5f80f914ce"",""xray_trace_id"":""1-6915ea35-90e1bc612b2f518eef437c39""}
"
1763043894664,"END RequestId: 1daba90e-6666-41f6-ab25-ba5f80f914ce
"
1763043894664,"REPORT RequestId: 1daba90e-6666-41f6-ab25-ba5f80f914ce	Duration: 911.03 ms	Billed Duration: 912 ms	Memory Size: 256 MB	Max Memory Used: 127 MB	
"
1763043894671,"START RequestId: 628f1eee-b75a-4b32-8740-225645d58251 Version: $LATEST
"
1763043894672,"{""level"":""INFO"",""location"":""/opt/python/aws_lambda_powertools/logging/logger.py::decorate::535"",""message"":{""Records"":[{""eventID"":""80000e7b3ce3509071c725c6f016593d"",""eventName"":""INSERT"",""eventVersion"":""1.1"",""eventSource"":""aws:dynamodb"",""awsRegion"":""eu-south-1"",""dynamodb"":{""ApproximateCreationDateTime"":1763043892.0,""Keys"":{""SK"":{""S"":""35QYifFWsJCb8pFb22JctTHBF6L""},""PK"":{""S"":""DDBQ_EXP_PARALLEL#35QYifFWsJCb8pFb22JctTHBF6L""}},""NewImage"":{""SenderApp"":{""S"":""DDBQ_EXP_PRODUCER""},""TaskId"":{""S"":""DDBQ_EXP_PARALLEL""},""ExpirationTs"":{""N"":""1763043891""},""SK"":{""S"":""35QYifFWsJCb8pFb22JctTHBF6L""},""Payload"":{""M"":{""text"":{""S"":""057""}}},""PK"":{""S"":""DDBQ_EXP_PARALLEL#35QYifFWsJCb8pFb22JctTHBF6L""}},""SequenceNumber"":""9486300002251803701005877"",""SizeBytes"":237,""StreamViewType"":""NEW_IMAGE""},""eventSourceARN"":""arn:aws:dynamodb:eu-south-1:477353422995:table/ddbq-exp-task-prod/stream/2025-11-11T13:45:49.967""}]},""timestamp"":""2025-11-13 14:24:54,671+0000"",""service"":""DynamoDB Queue to Lambda experiment @ v0.0.1"",""cold_start"":false,""function_name"":""ddbq-exp-prod-dynamodb-parallel"",""function_memory_size"":""256"",""function_arn"":""arn:aws:lambda:eu-south-1:477353422995:function:ddbq-exp-prod-dynamodb-parallel"",""function_request_id"":""628f1eee-b75a-4b32-8740-225645d58251"",""xray_trace_id"":""1-6915ea36-2b9122b1f2698b9e90bc5bdf""}
"
1763043894672,"{""level"":""INFO"",""location"":""/var/task/ddbq_exp/dynamodb_parallel_view.py::lambda_handler::131"",""message"":""DYNAMODB PARELLEL: START"",""timestamp"":""2025-11-13 14:24:54,672+0000"",""service"":""DynamoDB Queue to Lambda experiment @ v0.0.1"",""cold_start"":false,""function_name"":""ddbq-exp-prod-dynamodb-parallel"",""function_memory_size"":""256"",""function_arn"":""arn:aws:lambda:eu-south-1:477353422995:function:ddbq-exp-prod-dynamodb-parallel"",""function_request_id"":""628f1eee-b75a-4b32-8740-225645d58251"",""xray_trace_id"":""1-6915ea36-2b9122b1f2698b9e90bc5bdf""}
"
1763043896185,"END RequestId: 628f1eee-b75a-4b32-8740-225645d58251
"
1763043896185,"REPORT RequestId: 628f1eee-b75a-4b32-8740-225645d58251	Duration: 1513.17 ms	Billed Duration: 1514 ms	Memory Size: 256 MB	Max Memory Used: 138 MB	
"
