timestamp,message
1763139563849,"INIT_START Runtime Version: python:3.13.v69	Runtime Version ARN: arn:aws:lambda:eu-south-1::runtime:43fd6210a9f34c985f8b9370495e29fd2d20cadbe0e9eaea7ae03633587655fd
"
1763139564383,"{""level"":""INFO"",""location"":""/var/task/ddbq_exp/dynamodb_parallel_view.py::<module>::25"",""message"":""DYNAMODB PARELLEL: LOADING"",""timestamp"":""2025-11-14 16:59:24,383+0000"",""service"":""DynamoDB Queue to Lambda experiment @ v0.0.1""}
"
1763139564388,"START RequestId: 84ad8d33-eb93-4ea0-8924-a2e5177be624 Version: $LATEST
"
1763139564389,"{""level"":""INFO"",""location"":""/opt/python/aws_lambda_powertools/logging/logger.py::decorate::535"",""message"":{""Records"":[{""eventID"":""b4ffac100720c7f2b9bbf1672b310a2a"",""eventName"":""INSERT"",""eventVersion"":""1.1"",""eventSource"":""aws:dynamodb"",""awsRegion"":""eu-south-1"",""dynamodb"":{""ApproximateCreationDateTime"":1763139555.0,""Keys"":{""SK"":{""S"":""35Tgc5KcZEN1R4LBhg78cGaCUyb""},""PK"":{""S"":""DDBQ_EXP_PARALLEL#35Tgc5KcZEN1R4LBhg78cGaCUyb""}},""NewImage"":{""SenderApp"":{""S"":""DDBQ_EXP_PRODUCER""},""TaskId"":{""S"":""DDBQ_EXP_PARALLEL""},""ExpirationTs"":{""N"":""1763139551""},""SK"":{""S"":""35Tgc5KcZEN1R4LBhg78cGaCUyb""},""Payload"":{""M"":{""text"":{""S"":""045""}}},""PK"":{""S"":""DDBQ_EXP_PARALLEL#35Tgc5KcZEN1R4LBhg78cGaCUyb""}},""SequenceNumber"":""14707700003184163142267404"",""SizeBytes"":237,""StreamViewType"":""NEW_IMAGE""},""eventSourceARN"":""arn:aws:dynamodb:eu-south-1:477353422995:table/ddbq-exp-task-prod/stream/2025-11-11T13:45:49.967""},{""eventID"":""4c340492b650736ad6193cda195ff44d"",""eventName"":""INSERT"",""eventVersion"":""1.1"",""eventSource"":""aws:dynamodb"",""awsRegion"":""eu-south-1"",""dynamodb"":{""ApproximateCreationDateTime"":1763139555.0,""Keys"":{""SK"":{""S"":""35Tgc6d9ZqLOk3YNtIsSt4U0OSU""},""PK"":{""S"":""DDBQ_EXP_PARALLEL#35Tgc6d9ZqLOk3YNtIsSt4U0OSU""}},""NewImage"":{""SenderApp"":{""S"":""DDBQ_EXP_PRODUCER""},""TaskId"":{""S"":""DDBQ_EXP_PARALLEL""},""ExpirationTs"":{""N"":""1763139552""},""SK"":{""S"":""35Tgc6d9ZqLOk3YNtIsSt4U0OSU""},""Payload"":{""M"":{""text"":{""S"":""005""}}},""PK"":{""S"":""DDBQ_EXP_PARALLEL#35Tgc6d9ZqLOk3YNtIsSt4U0OSU""}},""SequenceNumber"":""14707800001340580779746567"",""SizeBytes"":237,""StreamViewType"":""NEW_IMAGE""},""eventSourceARN"":""arn:aws:dynamodb:eu-south-1:477353422995:table/ddbq-exp-task-prod/stream/2025-11-11T13:45:49.967""},{""eventID"":""577e279882d4dae60eb8cf44001c4b73"",""eventName"":""INSERT"",""eventVersion"":""1.1"",""eventSource"":""aws:dynamodb"",""awsRegion"":""eu-south-1"",""dynamodb"":{""ApproximateCreationDateTime"":1763139560.0,""Keys"":{""SK"":{""S"":""35TgcpMoczlibFL1fYewRBZKDld""},""PK"":{""S"":""DDBQ_EXP_PARALLEL#35TgcpMoczlibFL1fYewRBZKDld""}},""NewImage"":{""SenderApp"":{""S"":""DDBQ_EXP_PRODUCER""},""TaskId"":{""S"":""DDBQ_EXP_PARALLEL""},""ExpirationTs"":{""N"":""1763139557""},""SK"":{""S"":""35TgcpMoczlibFL1fYewRBZKDld""},""Payload"":{""M"":{""text"":{""S"":""061""}}},""PK"":{""S"":""DDBQ_EXP_PARALLEL#35TgcpMoczlibFL1fYewRBZKDld""}},""SequenceNumber"":""14709300001539189468835149"",""SizeBytes"":237,""StreamViewType"":""NEW_IMAGE""},""eventSourceARN"":""arn:aws:dynamodb:eu-south-1:477353422995:table/ddbq-exp-task-prod/stream/2025-11-11T13:45:49.967""},{""eventID"":""0b89105122d78bf226c1b55e872d581c"",""eventName"":""INSERT"",""eventVersion"":""1.1"",""eventSource"":""aws:dynamodb"",""awsRegion"":""eu-south-1"",""dynamodb"":{""ApproximateCreationDateTime"":1763139560.0,""Keys"":{""SK"":{""S"":""35TgcumRbmOW7b4uxPGVVnWdnkA""},""PK"":{""S"":""DDBQ_EXP_PARALLEL#35TgcumRbmOW7b4uxPGVVnWdnkA""}},""NewImage"":{""SenderApp"":{""S"":""DDBQ_EXP_PRODUCER""},""TaskId"":{""S"":""DDBQ_EXP_PARALLEL""},""ExpirationTs"":{""N"":""1763139558""},""SK"":{""S"":""35TgcumRbmOW7b4uxPGVVnWdnkA""},""Payload"":{""M"":{""text"":{""S"":""088""}}},""PK"":{""S"":""DDBQ_EXP_PARALLEL#35TgcumRbmOW7b4uxPGVVnWdnkA""}},""SequenceNumber"":""14709900000202932994846072"",""SizeBytes"":237,""StreamViewType"":""NEW_IMAGE""},""eventSourceARN"":""arn:aws:dynamodb:eu-south-1:477353422995:table/ddbq-exp-task-prod/stream/2025-11-11T13:45:49.967""}]},""timestamp"":""2025-11-14 16:59:24,389+0000"",""service"":""DynamoDB Queue to Lambda experiment @ v0.0.1"",""cold_start"":true,""function_name"":""ddbq-exp-prod-dynamodb-parallel"",""function_memory_size"":""256"",""function_arn"":""arn:aws:lambda:eu-south-1:477353422995:function:ddbq-exp-prod-dynamodb-parallel"",""function_request_id"":""84ad8d33-eb93-4ea0-8924-a2e5177be624"",""xray_trace_id"":""1-69175feb-f9b491b2196ebf5822cf58b8""}
"
1763139564389,"{""level"":""INFO"",""location"":""/var/task/ddbq_exp/dynamodb_parallel_view.py::lambda_handler::131"",""message"":""DYNAMODB PARELLEL: START"",""timestamp"":""2025-11-14 16:59:24,389+0000"",""service"":""DynamoDB Queue to Lambda experiment @ v0.0.1"",""cold_start"":true,""function_name"":""ddbq-exp-prod-dynamodb-parallel"",""function_memory_size"":""256"",""function_arn"":""arn:aws:lambda:eu-south-1:477353422995:function:ddbq-exp-prod-dynamodb-parallel"",""function_request_id"":""84ad8d33-eb93-4ea0-8924-a2e5177be624"",""xray_trace_id"":""1-69175feb-f9b491b2196ebf5822cf58b8""}
"
1763139569002,"END RequestId: 84ad8d33-eb93-4ea0-8924-a2e5177be624
"
1763139569002,"REPORT RequestId: 84ad8d33-eb93-4ea0-8924-a2e5177be624	Duration: 4613.53 ms	Billed Duration: 5150 ms	Memory Size: 256 MB	Max Memory Used: 127 MB	Init Duration: 535.83 ms	
"
